Date,Employee,Positive,Neutral,Negative
5/1/2021,Employee 1,1.0,0.0,0.0
5/1/2021,Employee 2,0.01,0.0,0.99
5/1/2021,Employee 3,0.99,0.01,0.0
3/12/2021,Employee 1,1.0,0.0,0.0
3/12/2021,Employee 2,0.0,0.0,1.0
3/12/2021,Employee 3,1.0,0.0,0.0
6/25/2021,Employee 1,1.0,0.0,0.0
6/25/2021,Employee 2,0.0,0.0,1.0
6/25/2021,Employee 3,1.0,0.0,0.0
9/2/2021,Employee 1,1.0,0.0,0.0
9/2/2021,Employee 2,0.0,0.0,1.0
9/2/2021,Employee 3,1.0,0.0,0.0
10/10/2021,Employee 1,0.99,0.01,0.0
10/10/2021,Employee 2,0.0,0.0,1.0
10/10/2021,Employee 3,1.0,0.0,0.0
2/18/2022,Employee 1,0.97,0.02,0.0
2/18/2022,Employee 2,0.0,0.0,1.0
2/18/2022,Employee 3,0.89,0.04,0.07
4/3/2022,Employee 1,1.0,0.0,0.0
4/3/2022,Employee 2,0.07,0.0,0.93
4/3/2022,Employee 3,0.0,0.0,1.0
8/15/2022,Employee 1,1.0,0.0,0.0
8/15/2022,Employee 2,0.99,0.01,0.0
8/15/2022,Employee 3,0.0,0.0,1.0
11/23/2022,Employee 1,1.0,0.0,0.0
11/23/2022,Employee 2,0.47,0.01,0.52
11/23/2022,Employee 3,1.0,0.0,0.0
3/18/2023,Employee 1,1.0,0.0,0.0
3/18/2023,Employee 2,1.0,0.0,0.0
3/18/2023,Employee 3,0.66,0.0,0.33
2/28/2021,Employee 1,1.0,0.0,0.0
2/28/2021,Employee 2,0.12,0.0,0.87
2/28/2021,Employee 3,1.0,0.0,0.0
7/15/2021,Employee 1,1.0,0.0,0.0
7/15/2021,Employee 2,0.96,0.03,0.01
7/15/2021,Employee 3,1.0,0.0,0.0
10/4/2021,Employee 1,0.99,0.01,0.0
10/4/2021,Employee 2,0.03,0.01,0.96
10/4/2021,Employee 3,1.0,0.0,0.0
12/12/0021,Employee 1,1.0,0.0,0.0
12/12/0021,Employee 2,0.99,0.01,0.0
12/12/0021,Employee 3,0.04,0.0,0.96
1/28/2022,Employee 1,1.0,0.0,0.0
1/28/2022,Employee 2,0.99,0.0,0.01
1/28/2022,Employee 3,0.99,0.0,0.01
4/15/2022,Employee 1,1.0,0.0,0.0
4/15/2022,Employee 2,0.87,0.0,0.12
4/15/2022,Employee 3,1.0,0.0,0.0
8/7/2022,Employee 1,1.0,0.0,0.0
8/7/2022,Employee 2,0.99,0.0,0.0
8/7/2022,Employee 3,1.0,0.0,0.0
11/21/2022,Employee 1,1.0,0.0,0.0
11/21/2022,Employee 2,0.0,0.0,1.0
11/21/2022,Employee 3,1.0,0.0,0.0
2/14/2023,Employee 1,1.0,0.0,0.0
2/14/2023,Employee 2,1.0,0.0,0.0
2/14/2023,Employee 3,0.99,0.0,0.01
6/27/2023,Employee 1,1.0,0.0,0.0
6/27/2023,Employee 2,0.01,0.0,0.99
6/27/2023,Employee 3,0.98,0.0,0.01
3/20/2021,Employee 1,0.99,0.0,0.0
3/20/2021,Employee 2,1.0,0.0,0.0
3/20/2021,Employee 3,0.99,0.01,0.0
6/10/2021,Employee 1,1.0,0.0,0.0
6/10/2021,Employee 2,0.99,0.01,0.0
6/10/2021,Employee 3,0.99,0.0,0.0
9/5/2021,Employee 1,1.0,0.0,0.0
9/5/2021,Employee 2,1.0,0.0,0.0
9/5/2021,Employee 3,1.0,0.0,0.0
12/2/2021,Employee 1,1.0,0.0,0.0
12/2/2021,Employee 2,0.98,0.02,0.0
12/2/2021,Employee 3,1.0,0.0,0.0
2/17/2022,Employee 1,0.99,0.01,0.0
2/17/2022,Employee 2,1.0,0.0,0.0
2/17/2022,Employee 3,1.0,0.0,0.0
5/7/2022,Employee 1,1.0,0.0,0.0
5/7/2022,Employee 2,0.99,0.01,0.0
5/7/2022,Employee 3,1.0,0.0,0.0
8/23/2022,Employee 1,1.0,0.0,0.0
8/23/2022,Employee 2,1.0,0.0,0.0
8/23/2022,Employee 3,0.98,0.02,0.01
11/12/2022,Employee 1,0.0,0.0,1.0
11/12/2022,Employee 2,1.0,0.0,0.0
11/12/2022,Employee 3,0.99,0.0,0.0
3/26/2023,Employee 1,1.0,0.0,0.0
3/26/2023,Employee 2,0.98,0.02,0.0
3/26/2023,Employee 3,1.0,0.0,0.0
7/15/2023,Employee 1,1.0,0.0,0.0
7/15/2023,Employee 2,1.0,0.0,0.0
7/15/2023,Employee 3,1.0,0.0,0.0
